#,Study Title,Lead Author,Year,Link (DOI),Location,Time of year,C. gigas?,OsHV-1 measured?,uvar?,OsHV-1 innoculation method,OsHV-1 metric,OsHV-1 quantity,Monitored water temp?,Reported water temp data?,Water Temp (deg C),Length of water temp data prior to experiment,Length of experiment,Measured Oyster Response?,Oyster Response Metric,Oyster response quantity,Other relevant parameters?,Data to solicit from authors,Include in Meta-analysis?,Notes
1,A literature review as an aid to identify strategies for mitigating ostreid herpesvirus 1 in Crassostrea gigas hatchery and nursery systems,Rodgers,2018,https://doi.org/10.1111/raq.12246,Lit Review,Lit Review,Yes,No,na,na,na,na,na,na,na,na,na,na,na,na,na,na,No - literature review,Read temp. section of this paper to pull data
2,"A Production Calendar Based on Water Temperature, Spat Size, and Husbandry Practices Reduce OsHV-1 μvar Impact on Cultured Pacific Oyster Crassostrea gigas in the Ebro Delta (Catalonia), Mediterranean Coast of Spain",Carrasco,2017,https://www.frontiersin.org/articles/10.3389/fphys.2017.00125/full,"Ebro Delta, Spain",spring (Temps > 16),Yes,Yes,Yes,in situ?,prevalence peak,90%,Yes,Yes,> 16,3 months,1 year,Yes,Mortality,85%,3 sites w/in the delta,"OsHV-1 prevalence & qpCR data, temperature data",Yes,epidemiological study
2,"A Production Calendar Based on Water Temperature, Spat Size, and Husbandry Practices Reduce OsHV-1 μvar Impact on Cultured Pacific Oyster Crassostrea gigas in the Ebro Delta (Catalonia), Mediterranean Coast of Spain",Carrasco,2018,https://www.frontiersin.org/articles/10.3389/fphys.2017.00125/full,"Ebro Delta, Spain",Dec-11,Yes,Yes,Yes,in situ?,prevalence peak,80%,Yes,Yes,11.8,4 months,1 year,Yes,Mortality,80%,3 sites w/in the delta,"OsHV-1 prevalence & qpCR data, temperature data",Yes,epidemiological study
2,"A Production Calendar Based on Water Temperature, Spat Size, and Husbandry Practices Reduce OsHV-1 μvar Impact on Cultured Pacific Oyster Crassostrea gigas in the Ebro Delta (Catalonia), Mediterranean Coast of Spain",Carrasco,2019,https://www.frontiersin.org/articles/10.3389/fphys.2017.00125/full,"Ebro Delta, Spain",autumn,Yes,Yes,Yes,in situ?,prevalence peak,50-80%,Yes,Yes,> 16,5 months,1 year,Yes,Mortality,?,3 sites w/in the delta,"OsHV-1 prevalence & qpCR data, temperature data",Yes,epidemiological study
2,"A Production Calendar Based on Water Temperature, Spat Size, and Husbandry Practices Reduce OsHV-1 μvar Impact on Cultured Pacific Oyster Crassostrea gigas in the Ebro Delta (Catalonia), Mediterranean Coast of Spain",Carrasco,2020,https://www.frontiersin.org/articles/10.3389/fphys.2017.00125/full,"Ebro Delta, Spain",summer (June-Sept),Yes,Yes,Yes,in situ?,prevalence peak,6.67-3.34%,Yes,Yes,>/= 22,6 months,1 year,Yes,Mortality,?,3 sites w/in the delta,"OsHV-1 prevalence & qpCR data, temperature data",Yes,epidemiological study
2,"A Production Calendar Based on Water Temperature, Spat Size, and Husbandry Practices Reduce OsHV-1 μvar Impact on Cultured Pacific Oyster Crassostrea gigas in the Ebro Delta (Catalonia), Mediterranean Coast of Spain",Carrasco,2021,https://www.frontiersin.org/articles/10.3389/fphys.2017.00125/full,"Ebro Delta, Spain",winter (Dec/Jan),Yes,Yes,Yes,in situ?,prevalence peak,13.34%,Yes,Yes,< 13,7 months,1 year,Yes,Mortality,?,3 sites w/in the delta,"OsHV-1 prevalence & qpCR data, temperature data",Yes,epidemiological study
3,"Analysis of farm management strategies following herpesvirus (OsHV-1) disease outbreaks in Pacific oysters in Tasmania, Australia",Ugalde,2018,https://www.sciencedirect.com/science/article/abs/pii/S0044848618304484?via%3Dihub,"Tasmania, Australia",summer,Yes,No,Yes,in situ,"""disease events""",Presence/Absence,Yes,No,dependent on farmer's perceptions,na,1 summer,Yes,Mortality,na,"spat size, ploidy, lease size, business level",,No - survey,survey of leaseholders
4,"Antiviral Defense and Innate Immune Memory in the Oyster
",Green,2018,https://www.mdpi.com/1999-4915/10/3/133,na,na,Yes,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,No - literature review,
5,Characterisation of the Pacific Oyster Microbiome During a Summer Mortality Event,King,2018,https://link.springer.com/article/10.1007/s00248-018-1226-9,"Port Stephens, Australia",summer,Yes,Yes,na,in situ,na,0%,No,No,na,na,1 summer,Yes,Mortality,na,na,na,No - no OsHV-1 or temperature data,
6,Characterization of the Mollusc RIG-I/MAVS Pathway Reveals an Archaic Antiviral Signalling Framework in Invertebrates,Huang,2017,https://www.nature.com/articles/s41598-017-08566-x,"Qingdao, Shandong Province, China",na,Yes,Yes,na,in vitro,na,na,Yes,No,22 +/- 0.5,1 week,na,Yes,Transcriptome,na,na,Maybe temp / OsHV-1 infection data?,Maybe,transcriptomic study in lab; doesn't feel like it will be all that informative
