Study_numb,Paper,Lead Author,Year_Published,Title,URL,Location,Country,GPS_coordinates_extracted,GPS_Google,GPS_data,GPS_lat,GPS_long,Field_Lab,Species,Taxa,Year_Sampled,OsHV-1_var,Strain,Search_Strategy,Notes
1,Arzul et al. 2001,Arzul,2001,Evidence for interspecies transmission of oyster herpesvirus in marine bivalves,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-4-865,"Normandy, France",France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Ruditapes phillipinarum,Clam,1997,OsHV-1,,Snowball,
1,Arzul et al. 2001,Arzul,2001,Evidence for interspecies transmission of oyster herpesvirus in marine bivalves,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-4-865,"Normandy, France",France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Magallana gigas,Pacific Oyster,1997,OsHV-1,,Snowball,
1,Arzul et al. 2001,Arzul,2001,Evidence for interspecies transmission of oyster herpesvirus in marine bivalves,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-4-865,"Normandy, France",France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Ruditapes dessicatus,Clam,1998,OsHV-1,,Snowball,
1,Arzul et al. 2001,Arzul,2001,Evidence for interspecies transmission of oyster herpesvirus in marine bivalves,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-4-865,"Normandy, France",France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Ostrea edulis,Other Oyster,1997,OsHV-1,,Snowball,
1,Arzul et al. 2001,Arzul,2001,Evidence for interspecies transmission of oyster herpesvirus in marine bivalves,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-4-865,"Vendée, France",France,NA,"46.832531, -2.150655","46.832531, -2.150655",46.832531,-2.150655,Field,Magallana gigas,Pacific Oyster,1995,OsHV-1,,Snowball,
1,Arzul et al. 2001,Arzul,2001,Evidence for interspecies transmission of oyster herpesvirus in marine bivalves,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-4-865,"Vendée, France",France,NA,"46.832531, -2.150655","46.832531, -2.150655",46.832531,-2.150655,Field,Magallana gigas,Pacific Oyster,2000,OsHV-1,,Snowball,
1,Arzul et al. 2001,Arzul,2001,Evidence for interspecies transmission of oyster herpesvirus in marine bivalves,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-4-865,"Charente-Maritime, France",France,NA,"45.948768, -1.094332","45.948768, -1.094332",45.948768,-1.094332,Field,Magallana gigas,Pacific Oyster,1997,OsHV-1,,Snowball,
1,Arzul et al. 2001,Arzul,2001,Evidence for interspecies transmission of oyster herpesvirus in marine bivalves,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-4-865,"Charente-Maritime, France",France,NA,"45.948768, -1.094332","45.948768, -1.094332",45.948768,-1.094332,Field,Ostrea edulis,Other Oyster,2000,OsHV-1,,Snowball,
2,Arzul et al. 2001,Arzul,2001,French Scallops: A New Host for Ostreid Herpesvirus-1,https://www.sciencedirect.com/science/article/pii/S0042682201911869?via%3Dihub,"Breton (Brittany), France",France,NA,"48.431392, -4.759700","48.431392, -4.759700",48.431392,-4.7597,Field,Pecten maximus,Scallop,2000,OsHV-1,,Snowball,
3,Bai et al. 2018,Bai,2018,Dual transcriptomic analysis of Ostreid herpesvirus 1 infected Scapharca broughtonii with an emphasis on viral anti-apoptosis activities and host oxidative bursts,https://www.sciencedirect.com/science/article/abs/pii/S1050464818305278?via%3Dihub,"Jimo, Qingdao, Shandong Province (imported from Korea)",China,NA,"36.460846, 120.948483","36.460846, 120.948483",36.460846,120.948483,Lab,Scapharca broughtonii,Clam,2014,OsHV-1,OsHV-1 SB?,Snowball,Ark Shell Blood Clam
