Study_numb,Paper,Year_Published,Title,URL,Location,Country,GPS_coordinates_extracted,GPS_Google,GPS_data,GPS_lat,GPS_long,Species,Common name,Taxa,OsHV_var,Year_Sampled,Field_Lab,Search_Strategy,Notes_1,Ind_Pools,Prevalence,Sample_Size,Intensity,Notes_2
39,O'Reilly et al. 2018,2018,The role of the mussel Mytilus spp. in the transmission of ostreid herpesvirus-1 microVar,https://www.cambridge.org/core/journals/parasitology/article/role-of-the-mussel-mytilus-spp-in-the-transmission-of-ostreid-herpesvirus1-microvar/5DBEC59DD1A86F8709E3433D0EF1CB68,"Carlingford Lough, Co. Lough",Ireland,NA,"54.90122222222222, -6.103322222222221","54.90122222222222, -6.103322222222221",54.90122222,-6.103322222,Mytilus spp.,,Mussel,OsHV-1 μVar,2013,Field,Web of Science,,Individuals,0,0,NA,
24,da Silva et al. 2008,2008,Herpesvirus infection in European flat oysters Ostrea edulis obtained from brood stocks of various geographic origins and grown in Galicia (NW Spain),https://www.int-res.com/articles/dao2007/78/d078p181.pdf,"Ría de Arousa, Galicia",Spain,NA,"42.557357, -8.903498","42.557357, -8.903498",42.557357,-8.903498,Ostrea edulis,,Other Oyster,OsHV-1,2003,Field,Snowball,,Individuals,0.004,8,NA,Mean Prevalence
37,Jee et al. 2013,2013,Detection of Ostreid Herpesvirus 1 from adult Pacific Oysters Crassostrea gigas Cultured in Korea,http://koreascience.or.kr/article/JAKO201319947249778.page,Tongyeong Bay,Korea,NA,"34.830227, 128.434548

","34.830227, 128.434548

",34.830227,128.434548,Magallana gigas,,Pacific Oyster,OsHV-1 μVar,2012,Field,Snowball,,Individuals,0.004,210,,
24,da Silva et al. 2008,2008,Herpesvirus infection in European flat oysters Ostrea edulis obtained from brood stocks of various geographic origins and grown in Galicia (NW Spain),https://www.int-res.com/articles/dao2007/78/d078p181.pdf,"Ría de Ortigueira, Galicia",Spain,NA,"43.753142, -7.727630","43.753142, -7.727630",43.753142,-7.72763,Ostrea edulis,,Other Oyster,OsHV-1,2002,Field,Snowball,,Individuals,0.007,10,NA,Mean Prevalence
91,Pande & Andel 2018,2018,"Ostreid herpesvirus and Vibrio species pilot surveillance study farmed Pacific Oysters (Magallana gigas) in Croisilles Harbour, Marlborough Sounds, New Zealand.",https://www.mpi.govt.nz/dmsdocument/33337-ostreid-herpesvirus-and-vibrio-species-pilot-surveillance-study-farmed-pacific-oysters-magallana-gigas-in-croisilles-harbour-marlborough-sounds-new-zealand,"Croisilles Harbour, Marlborough Sounds",New Zealand,NA,"-41.074888, 173.681842","-41.074888, 173.681842",-41.074888,173.681842,Magallana gigas,,Pacific Oyster,OsHV-1 μVar,2017,Field,Snowball,,Individuals,0.01,700,NA,Table 1
109,Roque et al. 2012,2012,First report of OsHV-1 microvar in Pacific oyster (Crassostrea gigas) cultured in Spain,https://www.sciencedirect.com/science/article/pii/S0044848611008295,Fangar,Spain,NA,"40.769765, 0.764042","40.769765, 0.764042",40.769765,0.764042,Magallana gigas,,Pacific Oyster,OsHV-1,2005,Field,Snowball,,Individuals,0.01,10,NA,Table 1
24,da Silva et al. 2008,2008,Herpesvirus infection in European flat oysters Ostrea edulis obtained from brood stocks of various geographic origins and grown in Galicia (NW Spain),https://www.int-res.com/articles/dao2007/78/d078p181.pdf,NA,Greece,NA,"37.826217, 24.199100","37.826217, 24.199100",37.826217,24.1991,Ostrea edulis,,Other Oyster,OsHV-1,2002,Field,Snowball,,Individuals,0.012,11,NA,Mean Prevalence
68,Lynch et al. 2012,2012,"A previously undescribed ostreid herpes virus 1 (OsHV-1) genotype detected in the pacific oyster, Crassostrea gigas, in Ireland",https://www.cambridge.org/core/journals/parasitology/article/previously-undescribed-ostreid-herpes-virus-1-oshv1-genotype-detected-in-the-pacific-oyster-crassostrea-gigas-in-ireland/88D6EB5FCB13279A3F0070F1B71BACCE,Dungrvan Bay,Ireland,52°03′N 007°35′W,NA,"52.050000, -7.583333",52.05,-7.583333,Magallana gigas,,Pacific Oyster,OsHV-1 μVar,2004,Field,Snowball,,Individuals,0.0125,60,,Mean Prevalence
35,Shimahara et al. 2012,2012,Surveillance of Type 1 Ostreid Herpesvirus (OsHV-1) Variants in Japan,https://www.jstage.jst.go.jp/article/jsfp/47/4/47_129/_article,Mie Prefecture,Japan,NA,"34.387551, 136.965868","34.387551, 136.965868",34.387551,136.965868,Magallana gigas,,Pacific Oyster,OsHV-1,2011,Field,Snowball,,Individuals,0.013,150,NA,
61,Batista et al. 2014,2014,"Insights on the association between somatic aneuploidy and ostreid herpesvirus 1 detection in the oysters Crassostrea gigas, C. angulata and their F1 hybrids",https://onlinelibrary.wiley.com/doi/10.1111/are.12613,Ria Formosa,Portugal,NA,"37.121704, -7.620029","37.121704, -7.620029",37.121704,-7.620029,Crassostrea angulata,,Other Oyster,OsHV-1,2004,Field,Web of Science,,Individuals,0.0169,59,NA,
67,Mosca et al. 2021,2021,Crassostrea gigas (Thunberg 1793) cultivation in southern Adriatic Sea (Italy): A one-year monitoring study of the oyster health,https://onlinelibrary.wiley.com/doi/full/10.1111/are.15139,Puglia,Italy,NA,"41.485160, 16.288630","41.485160, 16.288630",41.48516,16.28863,Magallana gigas,,Pacific Oyster,OsHV-1 μVar,2018,Field,Web of Science,,Individuals,0.018,167,NA,
24,da Silva et al. 2008,2008,Herpesvirus infection in European flat oysters Ostrea edulis obtained from brood stocks of various geographic origins and grown in Galicia (NW Spain),https://www.int-res.com/articles/dao2007/78/d078p181.pdf,"Ría de Arousa, Galicia",Spain,NA,"42.557357, -8.903498","42.557357, -8.903498",42.557357,-8.903498,Ostrea edulis,,Other Oyster,OsHV-1,2001,Field,Snowball,,Individuals,0.0199,3,NA,Mean Prevalence
24,da Silva et al. 2008,2008,Herpesvirus infection in European flat oysters Ostrea edulis obtained from brood stocks of various geographic origins and grown in Galicia (NW Spain),https://www.int-res.com/articles/dao2007/78/d078p181.pdf,"Ría de Arousa, Galicia",Spain,NA,"42.557357, -8.903498","42.557357, -8.903498",42.557357,-8.903498,Ostrea edulis,,Other Oyster,OsHV-1,2002,Field,Snowball,,Individuals,0.021,11,NA,Mean Prevalence
35,Shimahara et al. 2012,2012,Surveillance of Type 1 Ostreid Herpesvirus (OsHV-1) Variants in Japan,https://www.jstage.jst.go.jp/article/jsfp/47/4/47_129/_article,Kumamoto,,NA,"32.785682, 130.588925

","32.785682, 130.588925

",32.785682,130.588925,Magallana gigas,,Pacific Oyster,OsHV-1,2007,Field,Snowball,,Individuals,0.023,86,NA,
24,da Silva et al. 2008,2008,Herpesvirus infection in European flat oysters Ostrea edulis obtained from brood stocks of various geographic origins and grown in Galicia (NW Spain),https://www.int-res.com/articles/dao2007/78/d078p181.pdf,NA,Ireland,NA,"51.593005, -8.858027","51.593005, -8.858027",51.593005,-8.858027,Ostrea edulis,,Other Oyster,OsHV-1,2001,Field,Snowball,,Individuals,0.025,3,NA,Mean Prevalence
