,Paper,Lead Author,Year_Published,Title,URL,Location,Country,GPS_coordinates_extracted,GPS_Google,GPS_data,GPS_lat,GPS_long,Species,OsHV1_var,Year_Sampled,GenBank Sequence,Search_Strategy,Notes
1,Ugalde et al. 2018,Ugalde,2018,"Analysis of farm management strategies following herpesvirus (OsHV-1) disease outbreaks in Pacific oysters in Tasmania, Australia",https://www.sciencedirect.com/science/article/pii/S0044848618304484,"Little Swanport, Tasmania",Australia,"−42.340497, 147.937958",NA,"−42.340497, 147.937958",-42.340497,147.937958,Magallana gigas,OsHV-1 uVar ,2017,NA,Snowball,
1,Ugalde et al. 2018,Ugalde,2018,"Analysis of farm management strategies following herpesvirus (OsHV-1) disease outbreaks in Pacific oysters in Tasmania, Australia",https://www.sciencedirect.com/science/article/pii/S0044848618304484,"Blackman Bay, Tasmania",Australia,"−42.854509, 147.831351",NA,"−42.854509, 147.831351",-42.854509,147.831351,Magallana gigas,OsHV-1 uVar ,2017,NA,Snowball,
1,Ugalde et al. 2018,Ugalde,2018,"Analysis of farm management strategies following herpesvirus (OsHV-1) disease outbreaks in Pacific oysters in Tasmania, Australia",https://www.sciencedirect.com/science/article/pii/S0044848618304484,"Pitt Water, Tasmania",Australia,"−42.80806, 147.494742",NA,"−42.80806, 147.494742",-42.80806,147.494742,Magallana gigas,OsHV-1 uVar ,2017,NA,Snowball,
1,Ugalde et al. 2018,Ugalde,2018,"Analysis of farm management strategies following herpesvirus (OsHV-1) disease outbreaks in Pacific oysters in Tasmania, Australia",https://www.sciencedirect.com/science/article/pii/S0044848618304484,"Pipeclay Lagoon, Tasmania",Australia,"−42.969895, 147.524052",NA,"−42.969895, 147.524052",-42.969895,147.524052,Magallana gigas,OsHV-1 uVar ,2017,NA,Snowball,
2,Hwang et al. 2013,Hwang,2013,Ostreid herpesvirus 1 infection in farmed Pacific oyster larvae Crassostrea gigas (Thunberg) in Korea,https://europepmc.org/article/MED/23957681,"Toongyoung, Korea",Korea,NA,"34.851386, 128.451258

","34.851386, 128.451258

",34.851386,128.451258,Magallana gigas,OsHV-1 uVar ,2011,"JQ959597, JQ959598",Snowball,
2,Hwang et al. 2013,Hwang,2013,Ostreid herpesvirus 1 infection in farmed Pacific oyster larvae Crassostrea gigas (Thunberg) in Korea,https://europepmc.org/article/MED/23957681,"Gaejae, Korea",Korea,NA,"34.853509, 128.479269

","34.853509, 128.479269

",34.853509,128.479269,Magallana gigas,OsHV-1 uVar ,2011,"JQ959597, JQ959598",Snowball,
3,Mello et al. 2018,Mello,2018,First evidence of viral and bacterial oyster pathogens in the Brazilian coast,https://onlinelibrary.wiley.com/doi/10.1111/jfd.12755,"Sambaqui, Santa Catarina, Brazil",Brazil,"27°75′S, 48°57′W",NA,"-27.492213, -48.530338",-27.492213,-48.530338,Magallana gigas,OsHV-1,"2013, 2014",,Snowball,
3,Mello et al. 2018,Mello,2018,First evidence of viral and bacterial oyster pathogens in the Brazilian coast,https://onlinelibrary.wiley.com/doi/10.1111/jfd.12755,"Sambaqui, Santa Catarina, Brazil",Brazil,"27°75′S, 48°57′W",NA,"-27.492213, -48.530338",-27.492213,-48.530338,Crassostrea brasiliana,OsHV-1,"2013, 2014",,Snowball,
3,Mello et al. 2018,Mello,2018,First evidence of viral and bacterial oyster pathogens in the Brazilian coast,https://onlinelibrary.wiley.com/doi/10.1111/jfd.12755,"Balneário Barra do Sul, Santa Catarina, Brazil",Brazil,"26°32′S, 48°66′W",NA,"-27.492213, -48.530338",-27.492213,-48.530338,Crassostrea brasiliana,OsHV-1,"2013, 2014",,Snowball,
3,Mello et al. 2018,Mello,2018,First evidence of viral and bacterial oyster pathogens in the Brazilian coast,https://onlinelibrary.wiley.com/doi/10.1111/jfd.12755,"Balneário Barra do Sul, Santa Catarina, Brazil",Brazil,"26°32′S, 48°66′W",NA,"-27.492213, -48.530338",-27.492213,-48.530338,Magallana gigas,OsHV-1,"2013, 2014",,Snowball,
4,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Magallana gigas,OsHV-1,,,Snowball,
4,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Magallana gigas,OsHV-1,,,Snowball,
4,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Magallana gigas,OsHV-1,,,Snowball,
4,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Magallana gigas,OsHV-1,,,Snowball,
4,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Magallana gigas,OsHV-1,,,Snowball,
4,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Magallana gigas,OsHV-1,,,Snowball,
4,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Magallana gigas,OsHV-1,,,Snowball,
4,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Magallana gigas,OsHV-1,,,Snowball,
4,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Magallana gigas,OsHV-1,,,Snowball,
4,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Magallana gigas,OsHV-1,,,Snowball,
4,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Magallana gigas,OsHV-1,,,Snowball,
4,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Magallana gigas,OsHV-1,,,Snowball,
4,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Magallana gigas,OsHV-1,,,Snowball,
4,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Magallana gigas,OsHV-1,,,Snowball,
4,Renault et al. 2012,Renault,2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas,https://journals.asm.org/doi/10.1128/JVI.06534-11,France,France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Magallana gigas,OsHV-1,,,Snowball,
