Study_numb,Paper,Lead Author,Year_Published,Title,URL,Location,Country,GPS_coordinates_extracted,GPS_Google,GPS_data,GPS_lat,GPS_long,Field_Lab,Species,Common name,Taxa,OsHV1_var,Year_Sampled,GenBank Sequence,Search_Strategy,Notes
1,Arzul et al. 2001,Arzul,2001,Evidence for interspecies transmission of oyster herpesvirus in marine bivalves,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-4-865,"Normandy, France",France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Ruditapes phillipinarum,,Clam,OsHV-1,1997,,Snowball,
1,Arzul et al. 2001,Arzul,2001,Evidence for interspecies transmission of oyster herpesvirus in marine bivalves,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-4-865,"Normandy, France",France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Magallana gigas,,Pacific Oyster,OsHV-1,1997,,Snowball,
1,Arzul et al. 2001,Arzul,2001,Evidence for interspecies transmission of oyster herpesvirus in marine bivalves,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-4-865,"Normandy, France",France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Ruditapes dessicatus,,Clam,OsHV-1,1998,,Snowball,
1,Arzul et al. 2001,Arzul,2001,Evidence for interspecies transmission of oyster herpesvirus in marine bivalves,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-4-865,"Normandy, France",France,NA,"49.717346, -1.907873","49.717346, -1.907873",49.717346,-1.907873,Field,Ostrea edulis,,Other Oyster,OsHV-1,1997,,Snowball,
1,Arzul et al. 2001,Arzul,2001,Evidence for interspecies transmission of oyster herpesvirus in marine bivalves,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-4-865,"Vendée, France",France,NA,"46.832531, -2.150655","46.832531, -2.150655",46.832531,-2.150655,Field,Magallana gigas,,Pacific Oyster,OsHV-1,1995,,Snowball,
1,Arzul et al. 2001,Arzul,2001,Evidence for interspecies transmission of oyster herpesvirus in marine bivalves,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-4-865,"Vendée, France",France,NA,"46.832531, -2.150655","46.832531, -2.150655",46.832531,-2.150655,Field,Magallana gigas,,Pacific Oyster,OsHV-1,2000,,Snowball,
1,Arzul et al. 2001,Arzul,2001,Evidence for interspecies transmission of oyster herpesvirus in marine bivalves,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-4-865,"Charente-Maritime, France",France,NA,"45.948768, -1.094332","45.948768, -1.094332",45.948768,-1.094332,Field,Magallana gigas,,Pacific Oyster,OsHV-1,1997,,Snowball,
1,Arzul et al. 2001,Arzul,2001,Evidence for interspecies transmission of oyster herpesvirus in marine bivalves,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-4-865,"Charente-Maritime, France",France,NA,"45.948768, -1.094332","45.948768, -1.094332",45.948768,-1.094332,Field,Ostrea edulis,,Other Oyster,OsHV-1,2000,,Snowball,
2,Arzul et al. 2001,Arzul,2001,French Scallops: A New Host for Ostreid Herpesvirus-1,https://www.sciencedirect.com/science/article/pii/S0042682201911869?via%3Dihub,"Breton (Brittany), France",France,NA,"48.431392, -4.759700","48.431392, -4.759700",48.431392,-4.7597,Field,Pecten maximus,,Scallop,OsHV-1,2000,,Snowball,
3,Bai et al. 2018,Bai,2018,Dual transcriptomic analysis of Ostreid herpesvirus 1 infected Scapharca broughtonii with an emphasis on viral anti-apoptosis activities and host oxidative bursts,https://www.sciencedirect.com/science/article/abs/pii/S1050464818305278?via%3Dihub,"Jimo, Qingdao, Shandong Province (imported from Korea)",China,NA,"36.460846, 120.948483","36.460846, 120.948483",36.460846,120.948483,Lab,Scapharca broughtonii,Ark Shell Blood Clam,Clam,OsHV-1,2014,,Snowball,OsHV-1 SB?
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province, China",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Field,Chlamys farreri,,Scallop,OsHV-1,2001,,Snowball,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province, China",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Field,Chlamys farreri,,Scallop,OsHV-1,2002,,Snowball,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province, China",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Field,Chlamys farreri,,Scallop,OsHV-1,2003,,Snowball,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province, China",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Field,Chlamys farreri,,Scallop,OsHV-1,2004,,Snowball,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province, China",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Field,Chlamys farreri,,Scallop,OsHV-1,2005,,Snowball,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province, China",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Field,Chlamys farreri,,Scallop,OsHV-1,2006,,Snowball,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province, China",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Field,Chlamys farreri,,Scallop,OsHV-1,2007,,Snowball,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province, China",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Field,Chlamys farreri,,Scallop,OsHV-1,2008,,Snowball,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province, China",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Field,Chlamys farreri,,Scallop,OsHV-1,2009,,Snowball,
4,Bai et al. 2015,Bai,2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,"Changddao County, Shandong Province, China",China,NA,"38.184832, 120.762450
","38.184832, 120.762450
",38.184832,120.76245,Field,Chlamys farreri,,Scallop,OsHV-1,2010,,Snowball,
