Study_numb,URL,Paper,Title,Year_Sampled,Species,OsHV_var
1,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-4-865,Arzul et al. 2001,Evidence for interspecies transmission of oyster herpesvirus in marine bivalves,1995,Magallana gigas,OsHV-1
1,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-4-865,Arzul et al. 2001,Evidence for interspecies transmission of oyster herpesvirus in marine bivalves,1997,Magallana gigas,OsHV-1
1,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-4-865,Arzul et al. 2001,Evidence for interspecies transmission of oyster herpesvirus in marine bivalves,1997,Ostrea edulis,OsHV-1
1,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-4-865,Arzul et al. 2001,Evidence for interspecies transmission of oyster herpesvirus in marine bivalves,1997,Ruditapes phillipinarum,OsHV-1
1,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-4-865,Arzul et al. 2001,Evidence for interspecies transmission of oyster herpesvirus in marine bivalves,1998,Ruditapes decussatus,OsHV-1
1,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-4-865,Arzul et al. 2001,Evidence for interspecies transmission of oyster herpesvirus in marine bivalves,2000,Magallana gigas,OsHV-1
1,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-4-865,Arzul et al. 2001,Evidence for interspecies transmission of oyster herpesvirus in marine bivalves,2000,Ostrea edulis,OsHV-1
2,https://www.sciencedirect.com/science/article/pii/S0042682201911869?via%3Dihub,Arzul et al. 2001,French Scallops: A New Host for Ostreid Herpesvirus-1,2000,Pecten maximus,OsHV-1
3,https://www.sciencedirect.com/science/article/abs/pii/S1050464818305278?via%3Dihub,Bai et al. 2018,Dual transcriptomic analysis of Ostreid herpesvirus 1 infected Scapharca broughtonii with an emphasis on viral anti-apoptosis activities and host oxidative bursts,2014,Scapharca broughtonii,OsHV-1
4,https://www.sciencedirect.com/science/article/pii/S0022201114001785?via%3Dihub,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China,2001,Chlamys farreri,OsHV-1
